NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
3,28,11,-7496.406111,17.965040,0.000000,-7429.872016,Still in CN Loop
3,28,21,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,31,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,41,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,47,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,48,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,49,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,28,50,-7496.406111,0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,1,-7502.482919,-7502.482919,6.585157,-7429.872016,Still in CN Loop
3,29,11,-7448.968609,53.514310,0.000008,-7429.872016,Still in CN Loop
3,29,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,31,-7448.968609,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,41,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,29,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,1,-7488.230333,-7488.230333,6.617543,-7429.872016,Still in CN Loop
3,30,11,-7448.968609,39.261724,0.000024,-7429.872016,Still in CN Loop
3,30,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,31,-7448.968609,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,41,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,30,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,1,-7492.647551,-7492.647551,6.612852,-7429.872016,Still in CN Loop
3,31,11,-7429.872016,62.775535,0.000000,-7429.872016,Still in CN Loop
3,31,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,31,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,1,-7466.547452,-7466.547452,6.630757,-7429.872016,Still in CN Loop
3,32,11,-7429.872016,36.675437,0.000000,-7429.872016,Still in CN Loop
3,32,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,32,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,1,-7514.486455,-7514.486455,6.366187,-7429.872016,Still in CN Loop
3,33,11,-7479.817611,34.668843,0.000000,-7429.872016,Still in CN Loop
3,33,21,-7479.817611,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,31,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,41,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,47,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,48,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,49,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,33,50,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,1,-7475.608061,-7475.608061,6.618760,-7429.872016,Still in CN Loop
3,34,11,-7464.525833,11.082228,0.000000,-7429.872016,Still in CN Loop
3,34,21,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,31,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,41,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,47,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,48,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,49,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,34,50,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,1,-7501.726859,-7501.726859,6.473426,-7429.872016,Still in CN Loop
3,35,11,-7429.872016,71.854844,0.000000,-7429.872016,Still in CN Loop
3,35,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,35,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,1,-7429.872016,-7429.872016,6.855603,-7429.872016,Still in CN Loop
3,36,11,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,36,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,1,-7464.976618,-7464.976618,6.798090,-7429.872016,Still in CN Loop
3,37,11,-7464.525833,0.450785,0.000000,-7429.872016,Still in CN Loop
3,37,21,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,31,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,41,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,47,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,48,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,49,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,37,50,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,1,-7489.668862,-7489.668862,6.778536,-7429.872016,Still in CN Loop
3,38,11,-7480.336159,9.332703,0.000000,-7429.872016,Still in CN Loop
3,38,21,-7480.336159,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,31,-7480.336159,0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,41,-7480.336159,0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,47,-7480.336159,0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,48,-7480.336159,0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,49,-7480.336159,0.000000,0.000000,-7429.872016,Still in CN Loop
3,38,50,-7480.336159,0.000000,0.000000,-7429.872016,Still in CN Loop
3,39,1,-7487.509068,-7487.509068,6.593314,-7429.872016,Still in CN Loop
3,39,11,-7479.817611,7.691456,0.000000,-7429.872016,Still in CN Loop
3,39,21,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,39,31,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,39,41,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,39,47,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
